                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0788,                 3.3981,                 4.1933,                0.00063,                0.15541,                0.00044,                0.00014,                 5.0511,                 3.2129,                  4.146,             0.00021671,             0.00021671,             0.00021671
                      2,                 4.6041,                  2.996,                  3.927,                0.00407,                0.25457,                0.00511,                0.00138,                 4.8377,                 3.5499,                 4.0104,             0.00044964,             0.00044964,             0.00044964
                      3,                 3.0985,                 2.6089,                 3.3887,                0.00444,                0.31715,                0.00446,                0.00123,                 4.3935,                 3.2427,                 3.8021,             0.00068212,             0.00068212,             0.00068212
                      4,                 2.4667,                 2.3387,                 2.7461,                0.00501,                0.34825,                0.00565,                0.00159,                    4.5,                 3.2137,                 3.7994,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.2081,                 2.2036,                 2.4718,                0.00471,                0.30645,                0.00506,                0.00149,                 4.6731,                 3.3806,                 3.9368,              0.0011457,              0.0011457,              0.0011457
                      6,                 2.0012,                 2.0021,                 2.1535,                0.00701,                0.43349,                0.00742,                0.00164,                 4.3676,                 3.2322,                 3.9954,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.7029,                 1.7921,                 1.8628,                0.00615,                0.35642,                0.00549,                0.00115,                 4.7456,                 3.3923,                 4.4225,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.4289,                 1.6078,                 1.6268,                 0.0039,                0.25443,                0.00312,                0.00069,                 5.0497,                 3.2075,                 4.1927,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2413,                 1.5289,                 1.4999,                0.25132,                0.26529,                0.07646,                0.04505,                 2.1059,                 3.3702,                 2.1387,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1417,                 1.4301,                 1.4034,                0.44353,                0.51939,                0.26509,                0.19567,                 1.0401,                  3.383,                 1.4107,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0362,                 1.3367,                 1.3217,                0.07833,                0.40449,                0.08345,                0.06095,                 1.2775,                  3.009,                 1.6726,              0.0016505,              0.0016505,              0.0016505
                     12,                0.90846,                 1.2801,                 1.2548,                0.42845,                0.70425,                  0.535,                0.45154,                0.76842,                 1.7904,                 1.2863,              0.0016488,              0.0016488,              0.0016488
                     13,                0.89165,                 1.2044,                 1.2317,                0.53962,                0.65271,                0.62254,                0.49983,                0.88886,                 1.3268,                 1.2426,              0.0016472,              0.0016472,              0.0016472
                     14,                0.86409,                 1.1646,                 1.1963,                0.54951,                0.61876,                0.64147,                0.54765,                0.63085,                 1.1059,                 1.0793,              0.0016455,              0.0016455,              0.0016455
                     15,                0.79522,                 1.1406,                 1.1634,                0.66756,                0.60964,                0.67398,                0.57038,                0.64182,                 1.0433,                 1.1143,              0.0016439,              0.0016439,              0.0016439
                     16,                0.79546,                 1.0733,                  1.142,                  0.685,                0.67652,                0.74507,                 0.6197,                0.67602,                  0.937,                 1.1209,              0.0016422,              0.0016422,              0.0016422
                     17,                0.75271,                 1.0244,                 1.1222,                0.61451,                0.57121,                0.61721,                0.51986,                0.63869,                 1.2836,                  1.101,              0.0016406,              0.0016406,              0.0016406
                     18,                0.75028,                 1.0046,                 1.1037,                0.68434,                0.69011,                0.77441,                0.66908,                0.63211,                0.95068,                 1.0837,              0.0016389,              0.0016389,              0.0016389
                     19,                0.72036,                0.96066,                  1.085,                0.77722,                 0.7405,                0.81276,                0.70241,                 0.6253,                0.80574,                 1.0647,              0.0016373,              0.0016373,              0.0016373
                     20,                0.70273,                0.90928,                 1.0732,                 0.8284,                0.79195,                0.85876,                0.74888,                0.59829,                0.71406,                 1.0239,              0.0016356,              0.0016356,              0.0016356
                     21,                0.68309,                0.84727,                 1.0538,                0.78763,                 0.7829,                0.84483,                0.73869,                0.53793,                0.71016,                 1.0079,               0.001634,               0.001634,               0.001634
                     22,                0.70237,                0.85829,                 1.0542,                0.79891,                0.67883,                0.80386,                0.70149,                0.60772,                0.75575,                 1.0151,              0.0016323,              0.0016323,              0.0016323
                     23,                0.66682,                0.86389,                 1.0467,                0.61326,                0.65224,                0.64928,                0.51889,                0.79595,                 1.2039,                 1.1348,              0.0016307,              0.0016307,              0.0016307
                     24,                 0.6794,                0.82353,                 1.0434,                 0.8288,                0.68614,                0.80589,                0.66597,                0.72917,                0.83373,                  1.114,               0.001629,               0.001629,               0.001629
                     25,                0.64828,                0.76303,                 1.0202,                0.80879,                 0.8456,                0.90081,                0.77988,                0.55604,                0.61443,                 1.0027,              0.0016274,              0.0016274,              0.0016274
                     26,                0.64163,                0.77532,                 1.0218,                0.80991,                0.82656,                0.89621,                0.76749,                0.57155,                0.60567,                0.99738,              0.0016257,              0.0016257,              0.0016257
                     27,                0.61397,                0.75041,                 1.0051,                0.80535,                0.86023,                0.91963,                0.81625,                0.49527,                0.58522,                0.96049,              0.0016241,              0.0016241,              0.0016241
                     28,                 0.6087,                0.72712,                0.99299,                0.73012,                0.81316,                0.89058,                0.76023,                0.57845,                0.69986,                 0.9962,              0.0016224,              0.0016224,              0.0016224
                     29,                0.61954,                0.73766,                0.97897,                0.86961,                 0.8379,                0.92166,                0.81461,                0.50738,                0.56576,                0.95358,              0.0016208,              0.0016208,              0.0016208
                     30,                0.60462,                0.71304,                 0.9844,                0.80396,                0.85883,                0.92154,                0.81176,                0.48457,                0.59206,                0.96442,              0.0016191,              0.0016191,              0.0016191
                     31,                0.55596,                0.66542,                0.96008,                0.86257,                0.83256,                0.93193,                0.84014,                0.46437,                0.53318,                0.93979,              0.0016175,              0.0016175,              0.0016175
                     32,                 0.5834,                0.69316,                 0.9732,                0.83878,                0.78494,                0.90203,                0.80556,                0.45751,                0.59847,                0.94016,              0.0016158,              0.0016158,              0.0016158
                     33,                0.55805,                0.67005,                0.94975,                0.72221,                0.84182,                0.87356,                0.79387,                0.47367,                0.80415,                0.93137,              0.0016142,              0.0016142,              0.0016142
                     34,                 0.5568,                0.67977,                 0.9627,                0.85624,                 0.8762,                0.90131,                0.81565,                0.44458,                0.54909,                0.95704,              0.0016125,              0.0016125,              0.0016125
                     35,                0.55123,                0.66391,                0.96382,                0.86846,                0.85431,                0.90765,                0.83002,                0.43446,                0.56209,                0.92741,              0.0016109,              0.0016109,              0.0016109
                     36,                0.54857,                0.66547,                0.96251,                0.87564,                0.92005,                0.94265,                0.85431,                0.44102,                0.49119,                0.93159,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55342,                0.64296,                0.95499,                0.91211,                0.92662,                0.96202,                0.86746,                0.44998,                0.46115,                0.93042,              0.0016076,              0.0016076,              0.0016076
                     38,                0.53439,                0.64238,                0.94349,                0.77225,                0.76693,                0.86846,                0.79513,                0.44829,                0.84626,                0.92528,              0.0016059,              0.0016059,              0.0016059
                     39,                0.55098,                0.66374,                  0.945,                0.85693,                0.80825,                 0.9123,                0.80628,                0.50896,                0.59143,                0.95092,              0.0016043,              0.0016043,              0.0016043
