                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3782,                 4.0598,                 4.2148,                0.00165,                0.11557,                0.00107,                0.00026,                  2.651,                  4.062,                  4.156,             0.00021671,             0.00021671,             0.00021671
                      2,                 3.7167,                 3.8366,                 4.0658,                0.00216,                0.15308,                0.00148,                 0.0003,                 2.6609,                 4.0004,                 4.1352,             0.00044964,             0.00044964,             0.00044964
                      3,                  2.964,                  3.388,                 3.6369,                 0.0037,                0.26717,                0.00318,                 0.0007,                 2.5956,                 4.0363,                 4.0521,             0.00068212,             0.00068212,             0.00068212
                      4,                 2.5373,                 2.8718,                 2.9654,                0.00355,                  0.231,                0.00219,                0.00068,                 2.5775,                 4.1235,                 3.9664,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.1637,                 2.6142,                 2.5773,                0.00408,                0.32707,                0.00564,                0.00133,                 2.4491,                 4.3156,                 4.0296,              0.0011457,              0.0011457,              0.0011457
                      6,                 1.9085,                 2.4157,                 2.3434,                0.00362,                0.26682,                0.00442,                0.00115,                  2.268,                 4.4875,                  4.038,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.7496,                 2.2279,                 2.1297,                0.00045,                0.01872,                 0.0003,                  3e-05,                 2.3186,                 4.1465,                 4.0426,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.5517,                 2.0117,                 1.9439,                0.00312,                0.21087,                0.00504,                0.00129,                 2.3997,                 3.9822,                 3.8142,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.3375,                   1.82,                 1.7905,                0.18742,                0.39035,                0.16299,                0.10587,                 1.6661,                 2.4697,                 1.9843,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.2342,                 1.6966,                 1.6902,                0.23526,                0.54121,                0.18568,                0.12725,                 1.2395,                  5.335,                 1.6472,              0.0016521,              0.0016521,              0.0016521
                     11,                  1.087,                 1.5693,                 1.5459,                0.27544,                0.52773,                0.17765,                0.12486,                 1.0821,                 3.9827,                 1.4722,              0.0016505,              0.0016505,              0.0016505
                     12,                0.95863,                  1.483,                 1.4605,                0.50401,                0.47448,                0.37971,                0.30722,                 1.0689,                 2.3789,                 1.5235,              0.0016488,              0.0016488,              0.0016488
                     13,                0.93975,                 1.4569,                 1.4223,                 0.5393,                0.60712,                0.58192,                 0.4968,                0.80311,                 1.5846,                 1.3248,              0.0016472,              0.0016472,              0.0016472
                     14,                0.86859,                  1.333,                 1.3571,                0.55343,                0.66778,                0.61808,                0.52308,                0.81969,                 1.3604,                 1.2688,              0.0016455,              0.0016455,              0.0016455
                     15,                0.89168,                 1.3112,                 1.3721,                0.59612,                0.67019,                0.68879,                0.59182,                0.61397,                 1.1056,                 1.1315,              0.0016439,              0.0016439,              0.0016439
                     16,                0.80772,                 1.2406,                 1.2973,                 0.5495,                0.71924,                0.66703,                0.56052,                0.65512,                 1.2926,                  1.157,              0.0016422,              0.0016422,              0.0016422
                     17,                0.77712,                 1.1916,                 1.2733,                0.61257,                0.67659,                  0.671,                0.56373,                0.67154,                  1.252,                 1.1502,              0.0016406,              0.0016406,              0.0016406
                     18,                0.78843,                 1.1713,                 1.2665,                 0.6474,                0.66822,                0.71994,                0.61905,                0.63478,                 1.0349,                 1.1195,              0.0016389,              0.0016389,              0.0016389
                     19,                0.71976,                 1.1343,                 1.2254,                0.64254,                0.56686,                0.64655,                0.54432,                0.64753,                 1.1807,                 1.1315,              0.0016373,              0.0016373,              0.0016373
                     20,                0.70076,                 1.0688,                 1.2169,                0.71357,                 0.7177,                0.77077,                0.67538,                0.58737,                0.94753,                 1.1083,              0.0016356,              0.0016356,              0.0016356
                     21,                0.70096,                 1.0374,                 1.1968,                0.74049,                0.80018,                0.84888,                0.74844,                0.54936,                0.89657,                 1.0599,               0.001634,               0.001634,               0.001634
                     22,                0.68751,                 1.0087,                 1.1878,                0.71247,                0.61696,                0.71937,                0.62021,                0.61486,                 1.0906,                 1.0937,              0.0016323,              0.0016323,              0.0016323
                     23,                0.69358,                0.97194,                 1.1904,                0.78081,                0.74205,                0.80948,                 0.6942,                0.59112,                0.89808,                 1.0831,              0.0016307,              0.0016307,              0.0016307
                     24,                0.66554,                0.93403,                 1.1742,                0.65471,                0.73226,                0.79038,                0.70207,                0.50953,                 1.0117,                 1.0276,               0.001629,               0.001629,               0.001629
                     25,                 0.6515,                0.88923,                 1.1551,                0.69982,                0.77277,                0.80251,                0.68407,                0.64707,                  1.094,                 1.1298,              0.0016274,              0.0016274,              0.0016274
                     26,                0.62786,                0.87598,                 1.1429,                0.80938,                0.80763,                0.85904,                0.76782,                0.49371,                0.67487,                 1.0238,              0.0016257,              0.0016257,              0.0016257
                     27,                0.63682,                0.87822,                 1.1437,                0.84969,                0.82939,                0.90859,                0.79952,                0.53863,                0.64281,                 1.0544,              0.0016241,              0.0016241,              0.0016241
                     28,                0.63145,                0.84311,                 1.1258,                0.82826,                0.66364,                0.76662,                 0.6821,                0.50874,                0.79567,                 1.0243,              0.0016224,              0.0016224,              0.0016224
                     29,                0.60364,                0.81827,                   1.11,                0.78719,                0.84959,                0.90294,                0.82116,                0.47748,                  0.578,                0.98777,              0.0016208,              0.0016208,              0.0016208
                     30,                0.60699,                0.81992,                 1.1113,                0.87484,                0.77477,                0.91251,                0.79237,                0.55709,                0.62277,                 1.0465,              0.0016191,              0.0016191,              0.0016191
                     31,                0.59571,                0.77268,                 1.0948,                0.77477,                0.79784,                0.85124,                0.77026,                0.49053,                0.82092,                0.99754,              0.0016175,              0.0016175,              0.0016175
                     32,                0.60267,                0.78131,                 1.1031,                0.74578,                0.84276,                0.89788,                0.77615,                0.60463,                0.71107,                 1.0726,              0.0016158,              0.0016158,              0.0016158
                     33,                0.58189,                0.74834,                 1.0811,                0.64921,                0.89745,                0.84007,                0.76985,                 0.4676,                0.94382,                0.98663,              0.0016142,              0.0016142,              0.0016142
                     34,                0.58729,                0.75997,                 1.0935,                0.89081,                0.82358,                0.91355,                0.81416,                0.50736,                0.65329,                 1.0014,              0.0016125,              0.0016125,              0.0016125
                     35,                0.58387,                0.74013,                 1.0963,                0.85756,                0.83471,                 0.8989,                0.81574,                0.45144,                0.64056,                0.97055,              0.0016109,              0.0016109,              0.0016109
                     36,                 0.5586,                0.73737,                  1.071,                0.92262,                0.79828,                0.93226,                0.84771,                0.46008,                0.56099,                0.97713,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55787,                0.73137,                 1.0735,                0.90213,                0.89845,                0.95126,                0.86945,                0.42027,                0.50407,                 0.9634,              0.0016076,              0.0016076,              0.0016076
                     38,                0.53148,                0.68549,                 1.0559,                0.90045,                0.84958,                0.94637,                0.85129,                0.51195,                0.57818,                 1.0074,              0.0016059,              0.0016059,              0.0016059
                     39,                 0.5489,                0.71122,                 1.0634,                0.86668,                 0.8757,                0.92011,                0.83526,                0.45363,                0.54493,                0.97688,              0.0016043,              0.0016043,              0.0016043
                     40,                0.53785,                0.70992,                   1.06,                0.80484,                 0.8911,                0.92444,                0.85081,                0.44329,                0.70779,                0.96175,              0.0016026,              0.0016026,              0.0016026
                     41,                0.53518,                 0.6682,                 1.0491,                0.81617,                0.82867,                0.90294,                0.82976,                0.44315,                0.61466,                0.96145,               0.001601,               0.001601,               0.001601
                     42,                0.53968,                0.66834,                  1.059,                0.83049,                0.85252,                0.90657,                0.82161,                0.45334,                0.56021,                0.97108,              0.0015993,              0.0015993,              0.0015993
                     43,                0.53107,                0.67238,                 1.0421,                0.87415,                 0.8056,                0.92814,                0.85015,                0.43077,                0.61497,                0.95967,              0.0015977,              0.0015977,              0.0015977
                     44,                 0.5275,                0.63562,                 1.0369,                  0.855,                0.82939,                0.91121,                0.83801,                0.41103,                0.54438,                0.94502,               0.001596,               0.001596,               0.001596
                     45,                0.52016,                 0.6467,                 1.0374,                0.82761,                0.86585,                0.93261,                0.86592,                0.39228,                 0.5145,                0.92953,              0.0015944,              0.0015944,              0.0015944
                     46,                0.51258,                0.61264,                 1.0293,                0.89979,                0.88981,                0.94183,                0.87165,                0.41099,                0.50553,                0.94153,              0.0015927,              0.0015927,              0.0015927
                     47,                0.53464,                 0.6164,                 1.0475,                0.86883,                0.87463,                0.92714,                0.84107,                0.52763,                0.59212,                 1.0026,              0.0015911,              0.0015911,              0.0015911
                     48,                0.51094,                0.60104,                 1.0389,                0.89947,                0.94433,                0.95037,                0.87124,                0.42486,                0.43453,                0.95596,              0.0015894,              0.0015894,              0.0015894
                     49,                 0.5073,                0.60629,                  1.029,                0.88593,                0.89246,                 0.9457,                0.87572,                0.39295,                0.47166,                0.93601,              0.0015878,              0.0015878,              0.0015878
                     50,                0.49668,                0.59106,                 1.0331,                 0.8949,                0.90435,                0.96474,                0.89269,                0.42954,                0.44731,                 0.9468,              0.0015861,              0.0015861,              0.0015861
                     51,                0.50623,                 0.5824,                 1.0223,                0.85337,                0.92004,                0.93304,                0.85747,                0.43882,                0.50778,                0.95564,              0.0015845,              0.0015845,              0.0015845
                     52,                0.50193,                0.59343,                 1.0179,                 0.8704,                0.92511,                0.94422,                0.86989,                0.41999,                0.45098,                0.94635,              0.0015828,              0.0015828,              0.0015828
                     53,                0.50471,                0.57395,                 1.0242,                0.91555,                0.89443,                0.95428,                0.86253,                0.49762,                0.45536,                0.98463,              0.0015812,              0.0015812,              0.0015812
                     54,                0.49248,                0.59668,                 1.0246,                0.80902,                0.83408,                0.89876,                0.83509,                0.38698,                 0.5661,                0.93673,              0.0015795,              0.0015795,              0.0015795
                     55,                0.48016,                0.55929,                 1.0175,                0.88563,                0.90069,                0.95993,                0.90215,                0.37757,                0.43748,                0.93191,              0.0015779,              0.0015779,              0.0015779
                     56,                0.50022,                0.58066,                 1.0138,                0.86642,                0.92202,                0.95417,                0.89087,                0.38946,                0.46267,                0.92812,              0.0015762,              0.0015762,              0.0015762
                     57,                    0.5,                0.58887,                 1.0227,                 0.8721,                0.95234,                 0.9601,                0.89603,                0.39752,                0.41023,                0.93697,              0.0015746,              0.0015746,              0.0015746
                     58,                0.50203,                0.58241,                 1.0219,                0.78234,                0.91013,                0.89011,                0.81221,                0.42836,                 0.6018,                0.95769,              0.0015729,              0.0015729,              0.0015729
                     59,                 0.4893,                0.56153,                 1.0171,                0.93662,                0.89804,                0.96513,                0.88312,                0.41946,                0.41609,                0.95162,              0.0015713,              0.0015713,              0.0015713
                     60,                0.49376,                 0.5461,                 1.0227,                0.86706,                0.86486,                0.93495,                0.87604,                0.39201,                0.56082,                0.93079,              0.0015696,              0.0015696,              0.0015696
                     61,                0.47566,                0.53666,                 1.0009,                0.87705,                0.93564,                 0.9609,                0.88346,                0.43113,                0.41427,                0.94637,               0.001568,               0.001568,               0.001568
                     62,                0.48464,                0.54674,                 1.0071,                0.92578,                0.93138,                0.97488,                0.90494,                0.39793,                0.42615,                0.92885,              0.0015663,              0.0015663,              0.0015663
                     63,                0.47295,                0.53739,                 1.0056,                0.94912,                0.94848,                0.97986,                0.92486,                0.35682,                0.33616,                0.91497,              0.0015647,              0.0015647,              0.0015647
                     64,                0.49165,                 0.5386,                0.99911,                0.89575,                0.97396,                0.96546,                0.89817,                0.39332,                0.38354,                0.92914,               0.001563,               0.001563,               0.001563
                     65,                0.47876,                0.54309,                 1.0126,                0.80936,                0.91053,                0.90633,                0.84046,                 0.4237,                0.51291,                0.94029,              0.0015614,              0.0015614,              0.0015614
                     66,                 0.4805,                0.53548,                 1.0073,                0.90569,                0.94602,                0.95366,                0.88768,                0.36958,                 0.4029,                0.91982,              0.0015597,              0.0015597,              0.0015597
                     67,                0.46357,                0.52687,                0.99682,                0.86575,                0.89759,                0.95149,                 0.8824,                0.40914,                0.46218,                 0.9399,              0.0015581,              0.0015581,              0.0015581
                     68,                0.46548,                0.52867,                0.99701,                0.92472,                0.90639,                0.97495,                0.91916,                 0.3673,                 0.3795,                 0.9097,              0.0015564,              0.0015564,              0.0015564
                     69,                0.46637,                0.50965,                0.99266,                 0.9066,                0.94556,                0.97073,                0.91269,                 0.3741,                0.38685,                  0.922,              0.0015548,              0.0015548,              0.0015548
                     70,                0.47006,                0.51234,                0.99612,                0.94657,                 0.9348,                0.97119,                0.89457,                0.42891,                0.38488,                0.94171,              0.0015531,              0.0015531,              0.0015531
                     71,                0.47381,                0.52465,                0.99943,                0.93366,                 0.9142,                0.95319,                0.88399,                0.37976,                0.41662,                0.92591,              0.0015515,              0.0015515,              0.0015515
                     72,                0.44975,                0.50821,                 0.9925,                0.89965,                0.89734,                0.96478,                0.91279,                0.36736,                0.38862,                0.91646,              0.0015498,              0.0015498,              0.0015498
                     73,                0.45987,                0.51656,                 0.9998,                0.88989,                0.92511,                0.96197,                 0.9027,                0.37195,                0.38827,                 0.9202,              0.0015482,              0.0015482,              0.0015482
                     74,                 0.4563,                0.50792,                0.98286,                0.90505,                0.93806,                 0.9525,                0.88581,                0.36354,                0.40614,                0.91802,              0.0015465,              0.0015465,              0.0015465
                     75,                0.44746,                0.50923,                0.99338,                0.92147,                0.92859,                0.96304,                0.90175,                0.35703,                0.36245,                0.91682,              0.0015449,              0.0015449,              0.0015449
                     76,                0.43626,                 0.5084,                0.98593,                0.91204,                0.95059,                0.97181,                 0.9085,                0.36901,                0.35356,                0.91543,              0.0015432,              0.0015432,              0.0015432
                     77,                0.45866,                0.49456,                0.98254,                0.93564,                0.92638,                0.97605,                0.91424,                0.36685,                0.34683,                0.91128,              0.0015416,              0.0015416,              0.0015416
                     78,                0.45294,                0.48602,                0.98202,                0.93884,                 0.9173,                0.96826,                0.89972,                0.38776,                0.36635,                0.93402,              0.0015399,              0.0015399,              0.0015399
                     79,                0.45163,                0.49052,                 0.9899,                 0.9107,                0.94882,                0.97548,                0.91357,                0.37695,                0.34958,                0.91757,              0.0015383,              0.0015383,              0.0015383
