                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2272,                 3.7249,                 4.2322,                0.00633,                0.41495,                0.00472,                0.00118,                 3.0039,                 3.7499,                 4.1575,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.8861,                 3.5566,                  4.155,                0.00615,                0.40979,                0.00477,                0.00119,                  3.001,                 3.7635,                 4.1509,             0.00041958,             0.00041958,             0.00041958
                      3,                 3.2498,                 3.0976,                  3.865,                0.00799,                0.53608,                0.00668,                0.00164,                 2.8814,                 3.7433,                  4.111,             0.00063873,             0.00063873,             0.00063873
                      4,                 2.8002,                 2.7457,                 3.3703,                0.00924,                0.61856,                0.00818,                  0.002,                 2.7665,                 3.7485,                 4.0569,             0.00085745,             0.00085745,             0.00085745
                      5,                 2.4008,                 2.3921,                 2.7728,                0.00807,                0.53866,                0.00783,                0.00185,                 2.5951,                 3.8857,                 4.0647,              0.0010757,              0.0010757,              0.0010757
                      6,                 2.1125,                 2.2724,                 2.4803,                0.00738,                0.48711,                 0.0067,                0.00158,                 2.5444,                  3.918,                 4.0797,              0.0012936,              0.0012936,              0.0012936
                      7,                 1.8113,                 1.9579,                 2.2316,                0.00646,                0.42268,                 0.0054,                0.00149,                 2.6197,                 3.6891,                 4.0654,               0.001511,               0.001511,               0.001511
                      8,                 1.5624,                 1.7251,                  2.017,                0.00689,                0.45103,                0.00534,                0.00124,                 2.9274,                  3.582,                 4.1286,              0.0017279,              0.0017279,              0.0017279
                      9,                 1.4046,                 1.5723,                 1.8429,                0.00605,                0.43041,                0.00455,                0.00116,                 3.1396,                 3.4956,                  4.123,              0.0019445,              0.0019445,              0.0019445
                     10,                 1.3005,                 1.4708,                 1.7257,                0.00882,                0.58763,                0.01578,                0.00334,                 2.6187,                 3.4985,                  3.946,              0.0019822,              0.0019822,              0.0019822
                     11,                 1.1946,                 1.4173,                 1.6361,                0.06547,                0.03608,                0.02421,                0.00509,                 2.3901,                  3.764,                  3.928,              0.0019802,              0.0019802,              0.0019802
                     12,                 1.1545,                 1.3683,                 1.5874,                0.02075,                0.82216,                0.04548,                0.01811,                 2.3795,                 3.4622,                 3.5527,              0.0019782,              0.0019782,              0.0019782
                     13,                 1.0084,                 1.2247,                 1.4716,                0.02295,                0.66495,                0.06234,                0.03871,                 1.8077,                 3.5795,                 3.0249,              0.0019762,              0.0019762,              0.0019762
