                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2777,                 3.4036,                 4.1944,                 0.0083,                0.21474,                0.00463,                 0.0018,                 5.1713,                 3.2114,                 4.1465,             0.00021671,             0.00021671,             0.00021671
                      2,                 4.7442,                  3.023,                 3.9409,                0.00367,                0.24838,                0.00342,                0.00101,                 4.9537,                 3.5622,                  4.019,             0.00044964,             0.00044964,             0.00044964
                      3,                 3.1354,                 2.5926,                 3.4184,                0.00448,                0.31975,                0.00621,                0.00166,                 4.4371,                 3.1952,                 3.7914,             0.00068212,             0.00068212,             0.00068212
                      4,                  2.424,                 2.3114,                 2.7531,                0.00445,                0.27386,                0.00389,                 0.0012,                 4.9629,                 3.3323,                 3.9971,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.1087,                  2.145,                 2.4146,                0.00418,                0.28062,                0.00402,                0.00115,                 4.8353,                 3.2513,                 3.9012,              0.0011457,              0.0011457,              0.0011457
                      6,                  1.975,                 2.0108,                 2.1147,                0.00304,                0.14154,                0.00322,                0.00098,                 5.4955,                 3.4157,                 4.4431,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.7066,                  1.772,                 1.8498,                0.00573,                0.40899,                0.01246,                0.00299,                 4.7146,                 2.9274,                 3.9066,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.4418,                 1.6063,                 1.6302,                0.06316,                 0.0682,                0.01852,                0.00442,                 4.1857,                 2.9905,                 3.7712,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2635,                 1.4795,                 1.5152,                0.17677,                0.35578,                0.11151,                0.04352,                 2.8124,                  3.006,                 2.8561,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1288,                 1.4173,                  1.398,                 0.3305,                0.64182,                0.30229,                0.22561,                 1.1599,                 2.3414,                 1.5773,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0484,                 1.3103,                 1.3321,                0.59706,                0.16892,                0.14315,                0.09991,                 1.0946,                 3.8245,                 1.5973,              0.0016505,              0.0016505,              0.0016505
                     12,                0.92803,                 1.2629,                 1.2462,                0.42069,                0.52136,                0.47228,                0.38249,                 0.9187,                 2.0732,                 1.4235,              0.0016488,              0.0016488,              0.0016488
                     13,                0.90398,                 1.2828,                 1.2402,                0.40153,                0.63865,                0.40835,                0.32974,                0.93345,                 2.5747,                 1.3689,              0.0016472,              0.0016472,              0.0016472
                     14,                 0.8772,                 1.1912,                 1.2172,                0.49271,                0.72311,                0.64302,                0.53512,                0.78623,                 1.3291,                 1.2099,              0.0016455,              0.0016455,              0.0016455
                     15,                0.82933,                 1.1656,                 1.1987,                0.69677,                  0.616,                0.74048,                0.62406,                0.66835,                 1.1312,                 1.1463,              0.0016439,              0.0016439,              0.0016439
                     16,                 0.7837,                 1.1014,                 1.1362,                0.65644,                0.64731,                0.70895,                0.57771,                0.72934,                 1.2331,                 1.1095,              0.0016422,              0.0016422,              0.0016422
                     17,                0.79668,                 1.0358,                 1.1493,                 0.7271,                0.73416,                0.79128,                0.62278,                0.72094,                 0.9489,                 1.1354,              0.0016406,              0.0016406,              0.0016406
                     18,                0.75872,                0.98227,                 1.1106,                0.79401,                0.75459,                0.84439,                0.66355,                0.80221,                0.83253,                 1.1518,              0.0016389,              0.0016389,              0.0016389
                     19,                0.73972,                0.94864,                 1.0917,                0.69306,                0.76602,                0.76612,                0.66207,                0.60544,                 1.0103,                 1.0262,              0.0016373,              0.0016373,              0.0016373
                     20,                 0.7237,                0.93383,                  1.086,                0.78901,                0.77655,                0.83762,                0.70577,                0.61869,                0.80509,                 1.0646,              0.0016356,              0.0016356,              0.0016356
                     21,                 0.7252,                0.88635,                 1.0639,                0.66804,                0.74831,                0.74738,                0.65725,                0.54008,                 1.0203,                 1.0042,               0.001634,               0.001634,               0.001634
                     22,                 0.6958,                0.84474,                 1.0596,                0.72065,                0.57207,                0.68325,                0.49275,                0.95001,                 1.1257,                  1.238,              0.0016323,              0.0016323,              0.0016323
                     23,                0.68416,                 0.8539,                   1.06,                0.65958,                0.72338,                0.76541,                  0.642,                0.65777,                 0.9054,                 1.0914,              0.0016307,              0.0016307,              0.0016307
                     24,                0.63856,                0.84057,                 1.0349,                0.83832,                 0.7343,                 0.8715,                0.72413,                0.74827,                0.69425,                 1.1186,               0.001629,               0.001629,               0.001629
                     25,                0.63257,                0.83191,                 1.0174,                0.73265,                0.83157,                0.88818,                0.75356,                0.66251,                0.76417,                 1.0449,              0.0016274,              0.0016274,              0.0016274
                     26,                0.64413,                0.77695,                 1.0264,                 0.7902,                0.84619,                0.88465,                0.77885,                0.50711,                0.61862,                0.96711,              0.0016257,              0.0016257,              0.0016257
                     27,                0.62162,                 0.7513,                 1.0062,                0.86269,                0.78886,                0.88351,                0.75561,                0.61006,                0.59218,                 1.0185,              0.0016241,              0.0016241,              0.0016241
                     28,                0.59341,                0.72692,                0.98783,                0.80516,                0.88973,                0.90326,                0.79085,                0.54022,                0.59466,                0.97501,              0.0016224,              0.0016224,              0.0016224
                     29,                0.56447,                0.70908,                0.96266,                0.84597,                0.87734,                0.93456,                0.80876,                0.54558,                 0.5357,                0.97693,              0.0016208,              0.0016208,              0.0016208
                     30,                0.59981,                0.72323,                0.98385,                 0.7829,                 0.7747,                0.85889,                0.77411,                 0.5065,                0.81171,                 0.9578,              0.0016191,              0.0016191,              0.0016191
                     31,                 0.5769,                0.70123,                  0.966,                0.84527,                0.89703,                0.93034,                0.84421,                0.45547,                0.49257,                0.93383,              0.0016175,              0.0016175,              0.0016175
                     32,                0.57194,                0.68859,                0.96479,                0.79437,                0.86491,                0.93358,                0.81048,                0.59276,                0.58686,                 1.0083,              0.0016158,              0.0016158,              0.0016158
                     33,                0.56317,                0.66884,                0.95641,                 0.7203,                0.82593,                0.88097,                0.78667,                0.48487,                 1.1098,                0.93376,              0.0016142,              0.0016142,              0.0016142
                     34,                0.56678,                0.67254,                0.97142,                0.80884,                0.85283,                0.90547,                0.81018,                0.46582,                0.52917,                 0.9409,              0.0016125,              0.0016125,              0.0016125
                     35,                0.55921,                0.66405,                0.96031,                0.81835,                0.91705,                0.93226,                0.84639,                0.44016,                0.47837,                0.93387,              0.0016109,              0.0016109,              0.0016109
                     36,                0.55009,                0.67744,                0.95715,                0.79642,                   0.87,                0.90086,                0.81417,                0.45408,                0.63573,                0.92778,              0.0016092,              0.0016092,              0.0016092
