                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0979,                 3.4035,                 4.1944,                 0.0088,                0.21213,                0.00564,                0.00313,                 5.0508,                 3.2115,                 4.1469,             0.00021671,             0.00021671,             0.00021671
                      2,                 4.6066,                  3.005,                 3.9327,                0.00392,                0.25465,                0.00355,                  0.001,                 4.8341,                 3.5532,                 4.0065,             0.00044964,             0.00044964,             0.00044964
                      3,                 3.1941,                 2.6125,                 3.4261,                0.00492,                0.33017,                0.00522,                0.00155,                 4.2097,                 3.1556,                 3.7233,             0.00068212,             0.00068212,             0.00068212
                      4,                 2.4276,                  2.314,                 2.7452,                 0.0046,                0.31862,                0.00472,                0.00131,                 4.5541,                 3.1692,                 3.8421,             0.00091413,             0.00091413,             0.00091413
                      5,                  2.072,                 2.0835,                 2.3454,                 0.0041,                0.28737,                 0.0035,                0.00094,                 4.6955,                 3.2549,                  3.952,              0.0011457,              0.0011457,              0.0011457
                      6,                 1.7953,                 1.8816,                 1.9795,                0.00605,                0.37197,                0.00485,                0.00109,                 4.2594,                 3.2437,                 3.8145,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.5738,                 1.6827,                 1.7414,                0.00804,                0.43553,                0.00686,                0.00129,                  4.303,                  3.578,                 4.3776,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.4076,                 1.5877,                 1.5816,                0.04354,                0.29195,                0.02729,                0.00639,                  3.674,                 3.5749,                 3.8819,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2162,                  1.479,                 1.4678,                0.22687,                0.43053,                0.16511,                0.07508,                 2.2713,                 3.0228,                 2.4751,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1234,                 1.4092,                 1.3644,                0.04426,                0.83727,                0.27426,                0.20081,                 1.3296,                 4.4954,                  1.612,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0372,                 1.3679,                  1.312,                0.46586,                0.56426,                0.41922,                0.33404,                0.95161,                 2.3334,                 1.3842,              0.0016505,              0.0016505,              0.0016505
                     12,                0.95195,                 1.2633,                 1.2499,                 0.4892,                0.47382,                0.51638,                0.40093,                 1.0136,                 2.0735,                 1.5346,              0.0016488,              0.0016488,              0.0016488
                     13,                0.90951,                 1.2092,                 1.2276,                0.44295,                0.72656,                0.58768,                0.49096,                0.75843,                 3.3362,                 1.1918,              0.0016472,              0.0016472,              0.0016472
                     14,                0.83471,                 1.1142,                 1.1791,                0.56435,                0.75436,                 0.7383,                0.61488,                0.71555,                 1.8136,                 1.1284,              0.0016455,              0.0016455,              0.0016455
                     15,                0.79737,                 1.0992,                 1.1629,                0.75479,                0.65034,                0.76299,                0.60946,                0.81909,                  1.082,                 1.2426,              0.0016439,              0.0016439,              0.0016439
                     16,                0.79842,                 1.0397,                  1.139,                 0.7335,                0.72021,                0.80137,                0.67948,                0.62547,                0.85905,                 1.0742,              0.0016422,              0.0016422,              0.0016422
