                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1878,                 4.0608,                 4.2134,                0.00169,                0.12028,                 0.0013,                0.00028,                 2.1949,                  4.062,                 4.1546,             0.00021671,             0.00021671,             0.00021671
                      2,                 2.8897,                 3.8563,                  4.059,                0.00176,                0.12549,                0.00115,                0.00026,                 2.2057,                 4.0295,                 4.1325,             0.00044964,             0.00044964,             0.00044964
                      3,                 2.3996,                 3.2596,                 3.4565,                0.00272,                0.19581,                 0.0021,                0.00049,                 2.1418,                 4.1431,                 4.0938,             0.00068212,             0.00068212,             0.00068212
                      4,                 2.1049,                 2.7355,                 2.7198,                0.00338,                0.24268,                0.00242,                0.00053,                 2.0779,                 4.2105,                 4.0567,             0.00091413,             0.00091413,             0.00091413
                      5,                 1.8339,                 2.5135,                 2.4001,                0.00302,                 0.2046,                0.00504,                0.00105,                 1.9659,                 4.4978,                 4.0295,              0.0011457,              0.0011457,              0.0011457
                      6,                 1.6374,                 2.2785,                 2.2068,                0.00063,                0.02393,                0.00049,                  7e-05,                 1.9457,                 4.4115,                 4.1516,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.4868,                 2.0728,                 2.0304,                0.00209,                0.15259,                0.00477,                0.00074,                  1.978,                 4.2436,                 4.1264,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.3155,                 1.9341,                 1.8784,                0.00442,                0.17793,                0.00984,                 0.0028,                 1.9519,                  4.333,                 4.1211,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2518,                 1.7893,                 1.8092,                0.23481,                0.10557,                0.12207,                0.04951,                 1.7779,                 3.6711,                 3.2412,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1336,                 1.6884,                 1.6835,                0.24391,                0.61437,                0.32149,                0.24657,                 1.0134,                 1.9962,                 1.5306,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0241,                 1.5633,                 1.5616,                0.35611,                0.46502,                0.31112,                0.24653,                 1.0448,                 2.5831,                 1.5287,              0.0016505,              0.0016505,              0.0016505
                     12,                0.90289,                 1.4598,                 1.4521,                 0.5194,                0.70483,                0.56996,                0.47703,                0.78054,                 1.4285,                 1.2973,              0.0016488,              0.0016488,              0.0016488
                     13,                0.88158,                 1.4268,                 1.4241,                0.42856,                0.74486,                0.58159,                0.49144,                0.68961,                 2.1227,                 1.2356,              0.0016472,              0.0016472,              0.0016472
                     14,                0.80874,                 1.3317,                 1.3632,                0.56016,                0.67299,                0.62819,                0.51798,                0.67402,                 1.5095,                 1.2168,              0.0016455,              0.0016455,              0.0016455
                     15,                0.77442,                 1.2875,                 1.3223,                0.66604,                0.64385,                0.74127,                0.63582,                0.57113,                 1.0861,                 1.1431,              0.0016439,              0.0016439,              0.0016439
                     16,                0.75132,                  1.214,                 1.2936,                 0.5993,                0.64161,                0.64661,                0.55509,                0.60259,                  1.401,                  1.154,              0.0016422,              0.0016422,              0.0016422
                     17,                0.75409,                 1.1529,                 1.2879,                0.55602,                0.59126,                  0.551,                 0.4679,                0.62759,                 1.8391,                 1.1631,              0.0016406,              0.0016406,              0.0016406
                     18,                0.71635,                 1.1405,                 1.2515,                0.58261,                0.51599,                0.50015,                0.43018,                0.62636,                 1.6582,                 1.1827,              0.0016389,              0.0016389,              0.0016389
                     19,                0.69784,                 1.1056,                 1.2391,                0.65827,                0.75929,                0.77014,                 0.6572,                0.61912,                 1.1857,                 1.1525,              0.0016373,              0.0016373,              0.0016373
                     20,                0.69837,                 1.0544,                 1.2349,                0.71007,                0.70176,                0.79574,                0.69403,                0.57032,                 1.1487,                   1.12,              0.0016356,              0.0016356,              0.0016356
                     21,                0.69565,                0.98184,                 1.2183,                0.68968,                0.71819,                0.78342,                0.68943,                0.53385,                0.84963,                 1.0766,               0.001634,               0.001634,               0.001634
                     22,                0.68179,                0.98133,                  1.215,                0.51237,                0.75182,                0.71647,                0.61867,                0.58828,                 1.1296,                 1.0995,              0.0016323,              0.0016323,              0.0016323
                     23,                 0.6375,                 0.9787,                 1.1768,                 0.6836,                0.65359,                0.74955,                0.65293,                0.56062,                 1.0665,                 1.0892,              0.0016307,              0.0016307,              0.0016307
                     24,                0.62824,                0.91509,                 1.1726,                0.75446,                0.80187,                0.84176,                0.75444,                0.47802,                0.73732,                  1.032,               0.001629,               0.001629,               0.001629
                     25,                0.61913,                0.87893,                 1.1592,                0.72868,                0.75397,                0.84832,                0.73294,                0.56658,                0.86048,                  1.094,              0.0016274,              0.0016274,              0.0016274
