                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.2759,                 3.3515,                 4.1832,                0.00931,                0.21995,                0.00521,                0.00183,                 7.8908,                 3.2067,                 4.1493,             0.00021671,             0.00021671,             0.00021671
                      2,                 6.8458,                 2.9006,                 3.9216,                0.00371,                0.25197,                0.00344,                0.00093,                 7.4204,                  3.543,                 4.0453,             0.00044964,             0.00044964,             0.00044964
                      3,                 4.4191,                 2.6496,                 3.5473,                0.00537,                0.31715,                0.00491,                0.00167,                 6.2112,                 3.1609,                 3.8303,             0.00068212,             0.00068212,             0.00068212
                      4,                 3.2872,                 2.4668,                 3.0436,                0.00436,                0.28484,                0.00428,                0.00122,                 6.9874,                 3.3298,                  3.929,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.8112,                 2.3041,                 2.7163,                0.00397,                0.24627,                0.00305,                 0.0009,                 7.6111,                 4.0574,                 4.0489,              0.0011457,              0.0011457,              0.0011457
                      6,                 2.5641,                 2.1267,                 2.3932,                0.00534,                0.34678,                0.00579,                0.00147,                 6.3193,                 4.4557,                 3.7434,              0.0013768,              0.0013768,              0.0013768
                      7,                 2.2508,                 1.9612,                 2.1357,                0.00461,                0.31532,                0.01533,                0.00522,                 7.7093,                 3.2164,                 4.1339,              0.0016074,              0.0016074,              0.0016074
                      8,                  1.844,                 1.7904,                 1.8863,                0.01312,                0.51309,                0.02986,                0.00783,                 5.7195,                  3.233,                 3.8062,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.5922,                 1.6423,                  1.745,                0.54188,                0.08784,                0.09528,                0.05737,                 2.5304,                 2.8238,                  2.953,              0.0016538,              0.0016538,              0.0016538
                     10,                  1.424,                 1.5529,                 1.5927,                0.23533,                0.35368,                 0.1978,                 0.1433,                 1.7314,                 2.3881,                 1.9306,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.3273,                 1.4314,                 1.4929,                0.29907,                0.54955,                0.34944,                0.26931,                 1.0325,                  2.479,                 1.5143,              0.0016505,              0.0016505,              0.0016505
                     12,                 1.1499,                 1.3444,                 1.3823,                0.48985,                0.53322,                0.54663,                0.43391,                0.94386,                 1.7628,                  1.319,              0.0016488,              0.0016488,              0.0016488
                     13,                 1.0714,                 1.3282,                  1.318,                0.32026,                0.66097,                0.43721,                0.34493,                0.93141,                 2.1808,                 1.3565,              0.0016472,              0.0016472,              0.0016472
                     14,                0.98924,                 1.2618,                 1.2727,                0.61359,                0.62676,                0.64165,                0.51631,                0.91016,                 1.2327,                  1.276,              0.0016455,              0.0016455,              0.0016455
                     15,                0.99208,                 1.2226,                 1.2577,                0.63117,                0.63478,                 0.6743,                0.56396,                0.71563,                 1.1257,                 1.1747,              0.0016439,              0.0016439,              0.0016439
                     16,                0.97568,                 1.1727,                 1.2229,                0.66902,                 0.6664,                0.72214,                0.60477,                 0.7381,                 1.0116,                 1.1829,              0.0016422,              0.0016422,              0.0016422
                     17,                0.90002,                 1.1039,                 1.1862,                0.64846,                0.62365,                0.66639,                0.55219,                0.71685,                 1.1605,                 1.1327,              0.0016406,              0.0016406,              0.0016406
                     18,                0.89281,                 1.0897,                  1.164,                0.74681,                0.61983,                0.71162,                0.59685,                0.66312,                 1.0276,                 1.0792,              0.0016389,              0.0016389,              0.0016389
                     19,                0.85095,                 1.0365,                   1.14,                 0.7248,                0.70728,                0.78512,                0.68308,                0.66141,                 1.0045,                  1.085,              0.0016373,              0.0016373,              0.0016373
                     20,                0.78226,                 0.9839,                 1.1077,                0.76104,                0.68428,                0.78755,                0.69993,                0.60368,                0.85688,                 1.0529,              0.0016356,              0.0016356,              0.0016356
