                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.3855,                 3.3427,                 4.1851,                0.00332,                0.19426,                 0.0026,                0.00055,                 7.8758,                 3.1992,                  4.153,             0.00021671,             0.00021671,             0.00021671
                      2,                 7.1991,                 2.8799,                 3.9436,                0.00428,                0.24423,                0.00399,                0.00128,                 7.4069,                 3.5548,                 4.0742,             0.00044964,             0.00044964,             0.00044964
                      3,                 4.6853,                 2.6374,                 3.5475,                0.00443,                 0.3213,                0.00499,                0.00135,                 6.2373,                  3.303,                 3.8779,             0.00068212,             0.00068212,             0.00068212
                      4,                 3.2932,                 2.4562,                 2.9961,                0.00438,                0.30152,                0.00428,                0.00136,                 6.4974,                 3.3047,                 3.8621,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.8519,                 2.2947,                 2.6873,                0.00447,                0.33017,                0.00422,                0.00135,                 5.9863,                 3.2195,                 3.7524,              0.0011457,              0.0011457,              0.0011457
                      6,                 2.5893,                 2.1365,                 2.3988,                0.00379,                0.26802,                0.00286,                0.00065,                 7.8101,                 3.6396,                 4.0692,              0.0013768,              0.0013768,              0.0013768
                      7,                  2.248,                 1.9205,                 2.0914,                  0.003,                0.11979,                0.00238,                0.00071,                 9.2395,                 3.5266,                  4.555,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.8031,                 1.7486,                 1.8113,                0.00393,                0.27111,                0.00375,                0.00108,                 7.3801,                 3.3538,                 3.9264,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.5701,                  1.608,                 1.6709,                0.15112,                0.03484,                0.02931,                0.01251,                 8.2666,                  3.458,                 4.2894,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.3952,                 1.5364,                 1.5201,                0.25972,                0.32391,                0.19419,                0.12357,                 2.3583,                 2.2982,                 2.2624,              0.0016521,              0.0016521,              0.0016521
                     11,                  1.257,                 1.4281,                 1.4207,                0.26594,                0.68081,                0.27192,                0.20944,                  1.058,                 2.3497,                 1.4782,              0.0016505,              0.0016505,              0.0016505
                     12,                 1.1027,                   1.36,                 1.3406,                 0.4433,                0.55524,                0.49738,                0.40421,                  1.013,                 1.3695,                 1.4167,              0.0016488,              0.0016488,              0.0016488
                     13,                 1.1037,                 1.3389,                 1.3268,                0.43358,                0.69615,                0.46663,                0.36872,                0.95622,                 1.8444,                 1.3731,              0.0016472,              0.0016472,              0.0016472
                     14,                 1.0156,                 1.2397,                 1.2642,                0.58095,                0.61229,                0.63259,                0.51264,                0.88946,                 1.1203,                 1.2827,              0.0016455,              0.0016455,              0.0016455
                     15,                0.98752,                 1.2462,                 1.2467,                0.51177,                 0.6405,                0.58756,                0.48062,                0.75178,                 1.4958,                  1.222,              0.0016439,              0.0016439,              0.0016439
                     16,                0.93984,                 1.1634,                 1.1913,                0.70679,                0.56565,                0.67407,                0.54891,                0.77966,                 1.1096,                 1.2166,              0.0016422,              0.0016422,              0.0016422
                     17,                0.88776,                 1.0892,                 1.1702,                0.65397,                0.51698,                0.61438,                0.51203,                0.75764,                 1.2632,                 1.1827,              0.0016406,              0.0016406,              0.0016406
                     18,                0.86897,                 1.0768,                 1.1455,                 0.5553,                0.67769,                 0.6684,                0.49238,                0.93903,                 1.1664,                  1.235,              0.0016389,              0.0016389,              0.0016389
                     19,                0.85833,                0.99873,                 1.1173,                0.68242,                0.75313,                0.82837,                0.71447,                0.68241,                0.85978,                 1.1001,              0.0016373,              0.0016373,              0.0016373
                     20,                0.81581,                0.95544,                 1.1136,                0.69969,                0.68729,                0.74047,                0.63906,                0.59886,                0.95613,                 1.0417,              0.0016356,              0.0016356,              0.0016356
                     21,                0.76265,                0.89376,                 1.0769,                0.63879,                0.72895,                0.70947,                0.60569,                0.61905,                 1.1959,                 1.0887,               0.001634,               0.001634,               0.001634
                     22,                0.74945,                0.90039,                   1.07,                0.67599,                0.65526,                0.72145,                0.55339,                0.88034,                 1.0148,                 1.2036,              0.0016323,              0.0016323,              0.0016323
                     23,                0.76629,                  0.928,                 1.0796,                0.64134,                0.56208,                0.60825,                0.46907,                 1.0677,                 1.2624,                 1.2801,              0.0016307,              0.0016307,              0.0016307
                     24,                0.72645,                0.87463,                 1.0483,                0.70166,                0.76387,                0.79655,                0.65593,                0.74021,                0.88896,                 1.1181,               0.001629,               0.001629,               0.001629
                     25,                0.69084,                0.84157,                 1.0331,                0.61061,                0.80815,                0.79672,                0.69147,                0.57136,                0.97649,                0.99344,              0.0016274,              0.0016274,              0.0016274
                     26,                0.71112,                 0.8569,                 1.0373,                0.61167,                0.64118,                0.67677,                0.45789,                  1.004,                  1.118,                 1.2367,              0.0016257,              0.0016257,              0.0016257
                     27,                0.69575,                0.81816,                 1.0258,                0.64705,                 0.7531,                0.80179,                 0.7016,                 0.5857,                 1.0826,                0.99112,              0.0016241,              0.0016241,              0.0016241
                     28,                 0.6602,                0.78939,                 1.0048,                0.76924,                0.78005,                0.87155,                0.77448,                0.53989,                0.68006,                0.99374,              0.0016224,              0.0016224,              0.0016224
                     29,                0.65259,                0.76989,                0.98378,                0.85196,                0.81799,                0.89758,                0.79009,                0.54517,                0.63126,                0.96737,              0.0016208,              0.0016208,              0.0016208
                     30,                0.67901,                0.78663,                 1.0067,                 0.8145,                0.69039,                0.79781,                0.68715,                0.57218,                0.76517,                 1.0008,              0.0016191,              0.0016191,              0.0016191
                     31,                 0.6223,                0.74171,                0.97927,                0.82158,                0.79861,                0.87279,                0.75213,                0.60084,                0.69781,                 1.0092,              0.0016175,              0.0016175,              0.0016175
                     32,                0.62049,                0.73508,                0.97931,                0.78444,                0.80274,                0.85343,                0.75683,                0.52919,                0.66359,                0.98626,              0.0016158,              0.0016158,              0.0016158
                     33,                 0.6136,                0.70415,                0.96831,                0.84619,                0.86521,                 0.9225,                0.82704,                0.49375,                0.62385,                0.94502,              0.0016142,              0.0016142,              0.0016142
                     34,                0.62269,                0.72187,                0.98126,                0.82249,                0.79447,                 0.8956,                0.79566,                0.51851,                 0.7299,                0.99777,              0.0016125,              0.0016125,              0.0016125
                     35,                0.59615,                0.68713,                0.96411,                0.87769,                0.81458,                0.89663,                0.81809,                0.46459,                0.56605,                 0.9473,              0.0016109,              0.0016109,              0.0016109
                     36,                0.60993,                0.70519,                0.96909,                0.79695,                 0.8447,                0.87445,                0.77766,                0.50097,                0.57244,                0.95381,              0.0016092,              0.0016092,              0.0016092
                     37,                0.59937,                0.68782,                0.95604,                0.90626,                0.85121,                0.90816,                 0.8026,                0.51244,                  0.522,                0.95354,              0.0016076,              0.0016076,              0.0016076
                     38,                0.57685,                0.65726,                0.95243,                0.84737,                0.89331,                0.92627,                0.81103,                0.58497,                0.52394,                0.99532,              0.0016059,              0.0016059,              0.0016059
                     39,                 0.6194,                0.68783,                0.96359,                0.60161,                0.77988,                0.71937,                0.62222,                0.59397,                 1.0629,                0.98532,              0.0016043,              0.0016043,              0.0016043
                     40,                 0.5804,                0.65685,                0.94767,                0.91234,                0.89263,                0.94381,                0.85863,                0.47912,                0.49927,                0.93864,              0.0016026,              0.0016026,              0.0016026
                     41,                 0.5657,                0.64244,                0.94283,                  0.871,                0.86691,                0.91831,                0.80234,                0.55749,                0.57932,                0.98671,               0.001601,               0.001601,               0.001601
                     42,                0.55997,                0.62075,                0.94956,                0.84306,                0.91209,                0.93615,                0.84902,                0.47871,                0.49616,                0.93388,              0.0015993,              0.0015993,              0.0015993
                     43,                0.56394,                0.62232,                0.93611,                0.85486,                0.93187,                0.93527,                0.85362,                0.47265,                0.46872,                0.92933,              0.0015977,              0.0015977,              0.0015977
                     44,                0.55068,                0.60188,                0.93316,                0.87133,                0.90379,                0.93535,                0.85214,                0.43991,                0.47416,                0.92711,               0.001596,               0.001596,               0.001596
                     45,                 0.5434,                0.60886,                0.93228,                0.73979,                 0.8354,                0.86329,                 0.7842,                0.43594,                 0.6464,                0.91114,              0.0015944,              0.0015944,              0.0015944
