                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9948,                 3.3367,                 4.1677,                0.00931,                0.21995,                0.00765,                 0.0023,                 5.0529,                 3.2034,                 4.1451,             0.00021671,             0.00021671,             0.00021671
                      2,                  4.422,                 2.8643,                 3.8016,                0.00442,                0.26865,                0.00427,                0.00112,                 4.8588,                 3.5419,                 4.0145,             0.00044964,             0.00044964,             0.00044964
                      3,                  3.405,                 2.6056,                 3.3449,                0.00478,                0.31349,                0.00515,                0.00138,                 4.3821,                 3.2465,                 3.7788,             0.00068212,             0.00068212,             0.00068212
                      4,                 2.7141,                 2.4329,                 2.8406,                0.00374,                0.25099,                0.00366,                0.00113,                  4.805,                 3.3438,                 3.9329,             0.00091413,             0.00091413,             0.00091413
                      5,                 2.2779,                  2.248,                 2.4992,                0.00508,                0.32594,                0.00499,                0.00155,                 4.3818,                 3.4789,                 3.6982,              0.0011457,              0.0011457,              0.0011457
                      6,                 2.0557,                 2.0578,                 2.1659,                0.00453,                0.28787,                  0.005,                0.00139,                 4.8203,                 3.3974,                 3.9535,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.7785,                 1.8605,                 1.9181,                0.00422,                0.27224,                 0.0066,                0.00245,                 4.8779,                 3.3102,                 3.9836,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.4857,                  1.647,                 1.6732,                0.03239,                0.33263,                0.03824,                0.01025,                 4.0991,                 2.8671,                 3.4816,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.3102,                 1.5417,                  1.554,                0.25214,                0.55807,                0.23323,                0.14809,                 1.5695,                 3.1703,                 1.9034,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1354,                 1.4452,                 1.4243,                0.33241,                0.46995,                0.25437,                0.16114,                 1.4251,                 3.0903,                 1.7641,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0409,                 1.3475,                  1.352,                 0.3839,                0.41788,                 0.3142,                0.22994,                 1.1033,                 2.3063,                 1.5752,              0.0016505,              0.0016505,              0.0016505
                     12,                0.93651,                 1.2535,                 1.2688,                0.50464,                0.58673,                0.46749,                0.34328,                 1.0025,                   1.93,                 1.5414,              0.0016488,              0.0016488,              0.0016488
                     13,                0.88229,                 1.2394,                 1.2433,                0.47758,                0.69651,                0.51044,                0.41726,                0.82209,                  1.735,                 1.2699,              0.0016472,              0.0016472,              0.0016472
                     14,                 0.8341,                 1.1381,                 1.1894,                 0.5342,                0.63527,                0.60877,                0.50306,                0.68914,                 1.1704,                 1.1596,              0.0016455,              0.0016455,              0.0016455
                     15,                 0.8439,                 1.1085,                 1.1856,                0.64217,                0.70705,                0.70865,                0.59451,                0.69699,                  1.146,                 1.2036,              0.0016439,              0.0016439,              0.0016439
                     16,                0.82537,                 1.0392,                 1.1576,                0.61486,                0.67962,                  0.718,                0.58983,                0.73104,                 1.0359,                 1.1505,              0.0016422,              0.0016422,              0.0016422
                     17,                 0.7577,                0.95207,                 1.1163,                0.69088,                0.72156,                0.75036,                0.63188,                0.62408,                0.91775,                 1.0821,              0.0016406,              0.0016406,              0.0016406
                     18,                0.75438,                0.94708,                 1.1124,                0.59427,                0.68701,                0.66312,                0.57153,                0.61734,                 1.1441,                 1.1017,              0.0016389,              0.0016389,              0.0016389
                     19,                0.71889,                0.91445,                 1.0867,                0.66617,                0.68937,                0.72937,                0.61155,                0.69001,                0.89119,                 1.1094,              0.0016373,              0.0016373,              0.0016373
                     20,                0.70777,                0.88872,                 1.0807,                0.74049,                 0.7801,                0.82762,                0.71319,                 0.5752,                0.83908,                 1.0509,              0.0016356,              0.0016356,              0.0016356
                     21,                 0.6955,                0.84841,                 1.0603,                0.75136,                0.73733,                 0.8148,                0.68436,                0.59762,                0.83339,                 1.0636,               0.001634,               0.001634,               0.001634
                     22,                0.67358,                0.83233,                 1.0572,                 0.5872,                0.62812,                0.64798,                0.56117,                0.55719,                 1.2542,                 1.0128,              0.0016323,              0.0016323,              0.0016323
                     23,                0.66589,                 0.8348,                 1.0529,                0.68409,                 0.7873,                0.81943,                0.70442,                0.61595,                0.83438,                 1.0588,              0.0016307,              0.0016307,              0.0016307
                     24,                0.70129,                0.84086,                 1.0618,                0.83252,                 0.8018,                 0.8901,                0.75143,                0.65153,                0.71632,                 1.0595,               0.001629,               0.001629,               0.001629
                     25,                0.64628,                 0.7813,                 1.0256,                0.70272,                0.76954,                0.84174,                0.72126,                0.64272,                0.97866,                 1.0563,              0.0016274,              0.0016274,              0.0016274
                     26,                0.64233,                0.75861,                 1.0309,                0.79148,                0.69349,                0.81919,                0.69331,                0.62218,                0.82971,                 1.0344,              0.0016257,              0.0016257,              0.0016257
                     27,                0.65436,                0.74543,                 1.0214,                0.76199,                0.81834,                0.83176,                0.71406,                 0.5996,                 0.7083,                 1.0207,              0.0016241,              0.0016241,              0.0016241
                     28,                0.61715,                0.74895,                 1.0039,                0.75843,                0.90329,                 0.9022,                0.81362,                0.47852,                0.59555,                0.95643,              0.0016224,              0.0016224,              0.0016224
                     29,                0.60454,                0.74505,                0.98105,                0.85574,                0.86842,                0.90733,                0.80965,                0.48773,                0.55744,                0.96145,              0.0016208,              0.0016208,              0.0016208
                     30,                0.58996,                0.72336,                0.99002,                0.84272,                0.91061,                0.92352,                0.82906,                0.48871,                0.53222,                0.96143,              0.0016191,              0.0016191,              0.0016191
                     31,                0.57953,                0.68632,                0.97645,                0.74934,                  0.856,                0.86638,                0.77822,                0.47981,                0.70785,                0.95413,              0.0016175,              0.0016175,              0.0016175
                     32,                0.58102,                0.69338,                0.97612,                0.81753,                0.85079,                0.90088,                0.81727,                0.47515,                0.67375,                0.95976,              0.0016158,              0.0016158,              0.0016158
                     33,                0.57324,                0.68717,                0.96081,                 0.8396,                0.92351,                0.93036,                0.84054,                0.45063,                0.51734,                0.93605,              0.0016142,              0.0016142,              0.0016142
                     34,                0.57764,                0.69217,                0.97206,                0.86661,                0.85579,                0.90613,                0.80878,                0.50402,                 0.5457,                0.96993,              0.0016125,              0.0016125,              0.0016125
                     35,                0.56679,                0.66372,                0.96549,                0.82725,                 0.8081,                0.89653,                0.80146,                0.48346,                0.63072,                0.94943,              0.0016109,              0.0016109,              0.0016109
                     36,                0.56977,                0.67226,                0.96747,                0.68082,                0.83574,                0.82352,                0.74961,                0.47918,                 0.7446,                0.95084,              0.0016092,              0.0016092,              0.0016092
                     37,                 0.5534,                 0.6648,                0.95982,                0.91487,                0.85046,                0.93121,                0.84224,                0.45438,                 0.4882,                 0.9355,              0.0016076,              0.0016076,              0.0016076
                     38,                0.55638,                0.64787,                0.95661,                0.80304,                0.84973,                0.90768,                0.80489,                0.52377,                 0.5696,                0.97137,              0.0016059,              0.0016059,              0.0016059
                     39,                0.56966,                0.66964,                0.96315,                0.78538,                0.87683,                0.87042,                0.77627,                0.46445,                0.60715,                0.95831,              0.0016043,              0.0016043,              0.0016043
                     40,                0.55272,                0.64568,                0.95593,                0.81864,                0.89393,                0.94708,                0.85684,                0.46175,                0.52829,                0.92848,              0.0016026,              0.0016026,              0.0016026
                     41,                 0.5404,                0.61359,                0.94723,                0.87844,                0.91695,                0.95054,                0.85973,                 0.4274,                0.46864,                0.92191,               0.001601,               0.001601,               0.001601
                     42,                0.55123,                0.61237,                0.95515,                0.81408,                0.91005,                0.92969,                 0.8545,                0.43477,                0.50555,                0.92151,              0.0015993,              0.0015993,              0.0015993
                     43,                0.52464,                0.60023,                0.94188,                0.90875,                 0.8788,                0.93948,                0.84581,                0.44386,                0.49801,                0.92811,              0.0015977,              0.0015977,              0.0015977
                     44,                0.52739,                0.59393,                0.93204,                0.92333,                0.82531,                0.94303,                  0.865,                0.42965,                0.48231,                0.92472,               0.001596,               0.001596,               0.001596
                     45,                0.54478,                0.60751,                0.94281,                0.79448,                0.83939,                0.92241,                0.84097,                0.45468,                0.56681,                0.92571,              0.0015944,              0.0015944,              0.0015944
                     46,                0.53405,                 0.5787,                0.93293,                0.83374,                0.87179,                0.92747,                0.85347,                0.41007,                0.50283,                0.91164,              0.0015927,              0.0015927,              0.0015927
                     47,                0.51859,                0.57364,                0.93227,                0.85046,                0.93067,                0.96249,                0.89716,                0.39295,                0.44484,                0.91121,              0.0015911,              0.0015911,              0.0015911
                     48,                0.50808,                0.55982,                0.92857,                0.84161,                0.92772,                0.93853,                0.85373,                0.40789,                0.46952,                0.91177,              0.0015894,              0.0015894,              0.0015894
                     49,                0.48955,                0.56342,                 0.9168,                0.84156,                0.90534,                0.93908,                 0.8564,                0.41453,                0.51182,                0.93417,              0.0015878,              0.0015878,              0.0015878
                     50,                0.49721,                0.56495,                0.92706,                0.81856,                0.88823,                0.93873,                0.86223,                0.41424,                0.48941,                0.91215,              0.0015861,              0.0015861,              0.0015861
                     51,                0.51098,                0.56475,                0.92865,                0.84878,                0.89702,                0.93531,                0.85755,                0.43255,                0.52045,                0.91081,              0.0015845,              0.0015845,              0.0015845
                     52,                 0.5063,                0.55227,                0.92176,                 0.8252,                0.87914,                0.92245,                 0.8364,                0.43643,                0.52432,                0.92237,              0.0015828,              0.0015828,              0.0015828
                     53,                0.51917,                0.56205,                0.92498,                0.90837,                0.89963,                0.95965,                0.88815,                0.41015,                0.43992,                0.90114,              0.0015812,              0.0015812,              0.0015812
                     54,                0.51891,                0.58189,                0.92784,                0.94578,                0.88357,                0.95787,                0.88218,                0.40771,                0.41291,                 0.9078,              0.0015795,              0.0015795,              0.0015795
                     55,                0.47863,                0.53266,                0.91642,                0.87611,                0.88823,                0.94249,                0.86873,                0.42016,                0.45491,                0.90819,              0.0015779,              0.0015779,              0.0015779
                     56,                0.48854,                0.54125,                0.91374,                0.87159,                0.90126,                0.94104,                0.88134,                0.39812,                0.43349,                0.90333,              0.0015762,              0.0015762,              0.0015762
                     57,                0.49317,                0.54121,                0.91843,                0.85582,                0.91242,                0.94821,                0.87881,                0.39553,                0.42786,                0.90224,              0.0015746,              0.0015746,              0.0015746
                     58,                0.49637,                0.54052,                0.91793,                 0.9029,                0.79448,                0.91442,                0.84459,                0.38633,                0.61239,                0.90061,              0.0015729,              0.0015729,              0.0015729
                     59,                0.48804,                0.54658,                0.91429,                0.81552,                0.91978,                0.92714,                0.86282,                0.37318,                0.51503,                0.89171,              0.0015713,              0.0015713,              0.0015713
                     60,                0.48796,                0.52061,                0.91594,                0.85011,                0.95133,                0.94474,                0.88016,                0.38401,                0.42143,                0.89266,              0.0015696,              0.0015696,              0.0015696
                     61,                0.49432,                0.52294,                0.90702,                0.88442,                0.89084,                0.96431,                 0.8598,                0.49161,                0.47423,                0.93891,               0.001568,               0.001568,               0.001568
                     62,                0.49596,                0.53499,                0.91845,                0.91248,                 0.8798,                0.95612,                0.88428,                0.40003,                0.43775,                0.90426,              0.0015663,              0.0015663,              0.0015663
                     63,                0.46388,                0.51524,                0.90841,                0.84796,                0.93275,                0.95696,                0.90047,                0.36199,                0.45197,                0.88874,              0.0015647,              0.0015647,              0.0015647
                     64,                 0.4775,                0.52524,                0.90639,                0.90973,                0.96671,                0.96785,                0.90026,                 0.3764,                0.37138,                0.89435,               0.001563,               0.001563,               0.001563
                     65,                 0.4738,                0.53447,                0.91345,                0.84792,                0.92927,                0.88612,                0.82241,                0.40816,                 0.4757,                0.90071,              0.0015614,              0.0015614,              0.0015614
                     66,                0.47208,                0.50435,                0.90934,                 0.9137,                0.93081,                0.95051,                0.88201,                0.38889,                 0.4039,                0.89847,              0.0015597,              0.0015597,              0.0015597
                     67,                0.47416,                 0.5095,                0.90538,                0.83624,                0.89914,                0.92012,                0.85822,                0.38886,                0.44326,                0.90085,              0.0015581,              0.0015581,              0.0015581
                     68,                0.45138,                0.48474,                0.89813,                0.92159,                0.93457,                 0.9673,                0.89603,                 0.3823,                0.35643,                0.89116,              0.0015564,              0.0015564,              0.0015564
                     69,                0.44906,                0.48216,                 0.8984,                0.87362,                0.85297,                0.92759,                0.85962,                0.40236,                0.49039,                0.90194,              0.0015548,              0.0015548,              0.0015548
                     70,                0.47105,                0.50328,                0.91262,                0.76238,                0.84281,                0.82136,                0.75533,                 0.4285,                 0.6861,                0.92505,              0.0015531,              0.0015531,              0.0015531
                     71,                0.47084,                0.50492,                0.90122,                  0.901,                0.85079,                0.92758,                 0.8621,                0.40192,                0.43631,                0.90093,              0.0015515,              0.0015515,              0.0015515
                     72,                0.46865,                0.48412,                0.90613,                0.91813,                0.87298,                0.95022,                0.86932,                0.39324,                0.42579,                0.89698,              0.0015498,              0.0015498,              0.0015498
                     73,                0.46568,                0.49589,                0.91113,                 0.8762,                0.84994,                0.91708,                0.83694,                0.42807,                0.48321,                0.90922,              0.0015482,              0.0015482,              0.0015482
                     74,                  0.467,                0.47113,                0.89589,                0.81844,                0.90338,                0.91436,                0.84398,                 0.3906,                0.43859,                0.90392,              0.0015465,              0.0015465,              0.0015465
                     75,                0.46679,                0.49198,                0.90714,                0.92033,                0.93907,                  0.971,                0.90666,                0.36913,                 0.3693,                 0.8873,              0.0015449,              0.0015449,              0.0015449
                     76,                0.44664,                 0.4965,                0.90492,                0.86766,                0.91315,                0.95038,                0.88391,                0.38625,                0.42157,                0.89672,              0.0015432,              0.0015432,              0.0015432
                     77,                0.46075,                0.48113,                0.90303,                0.85837,                0.91631,                0.95221,                0.89487,                0.38026,                0.42749,                0.89175,              0.0015416,              0.0015416,              0.0015416
                     78,                0.45556,                0.47175,                 0.8955,                0.91094,                0.91344,                0.96587,                0.88399,                0.41414,                0.40889,                 0.9034,              0.0015399,              0.0015399,              0.0015399
                     79,                0.46456,                0.46589,                0.90249,                0.91105,                0.89495,                0.96173,                0.89436,                0.36647,                0.39153,                0.88703,              0.0015383,              0.0015383,              0.0015383
                     80,                 0.4461,                0.48074,                0.90045,                0.92702,                0.93219,                0.97016,                 0.9128,                0.36444,                0.37241,                0.88306,              0.0015366,              0.0015366,              0.0015366
                     81,                0.45397,                0.46873,                0.89052,                 0.9069,                0.92097,                0.94899,                0.88943,                0.36112,                0.40132,                0.87977,               0.001535,               0.001535,               0.001535
                     82,                0.46588,                0.47829,                0.89586,                0.92181,                0.88556,                0.94417,                0.88509,                 0.3661,                0.41424,                0.88966,              0.0015333,              0.0015333,              0.0015333
                     83,                0.46479,                0.46535,                0.89673,                0.89823,                 0.9116,                0.95938,                0.89575,                0.39173,                0.38543,                0.89899,              0.0015317,              0.0015317,              0.0015317
                     84,                0.46465,                0.47953,                0.89722,                0.92081,                0.94445,                0.97047,                 0.9055,                0.37269,                0.35846,                0.88725,                0.00153,                0.00153,                0.00153
                     85,                0.44441,                0.45076,                0.89268,                0.92436,                0.94961,                0.98236,                0.91879,                0.38137,                0.37826,                0.89241,              0.0015284,              0.0015284,              0.0015284
                     86,                0.46036,                0.47097,                0.89309,                0.87365,                0.93289,                0.94776,                0.88386,                0.38509,                 0.3845,                0.89134,              0.0015267,              0.0015267,              0.0015267
                     87,                0.46024,                0.45696,                0.89917,                0.90666,                0.94593,                0.95988,                0.89858,                0.38396,                0.37308,                0.88569,              0.0015251,              0.0015251,              0.0015251
                     88,                0.45128,                0.44553,                0.89622,                0.85868,                0.90727,                0.94044,                0.88242,                0.38535,                0.44282,                 0.8946,              0.0015234,              0.0015234,              0.0015234
                     89,                0.43979,                0.44802,                0.89303,                0.91804,                0.91784,                 0.9578,                0.88718,                0.38796,                0.39074,                0.88802,              0.0015218,              0.0015218,              0.0015218
