                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1921,                 4.0545,                 4.2058,                 0.0013,                0.11543,                0.00081,                0.00015,                 2.1901,                 4.0555,                 4.1501,             0.00021671,             0.00021671,             0.00021671
                      2,                  2.921,                 3.7689,                 4.0412,                0.00191,                0.13485,                0.00129,                0.00028,                 2.1827,                 3.9906,                  4.105,             0.00044964,             0.00044964,             0.00044964
                      3,                 2.5294,                 3.2742,                 3.6295,                0.00318,                0.23072,                0.00246,                0.00056,                 2.1684,                 3.9731,                 3.9756,             0.00068212,             0.00068212,             0.00068212
                      4,                  2.139,                 2.8022,                 2.9178,                0.00425,                0.35572,                0.00441,                0.00113,                 2.1268,                  4.154,                 3.8513,             0.00091413,             0.00091413,             0.00091413
                      5,                 1.9391,                 2.5578,                 2.5665,                0.00316,                0.25936,                0.00283,                0.00062,                 2.0151,                 4.3724,                 3.9454,              0.0011457,              0.0011457,              0.0011457
                      6,                 1.7982,                 2.3669,                  2.358,                 0.0022,                0.15308,                0.00151,                0.00046,                   1.99,                 3.9565,                 3.9381,              0.0013768,              0.0013768,              0.0013768
                      7,                 1.6096,                 2.1706,                 2.1662,                0.00161,                0.05673,                0.00176,                0.00035,                 1.9131,                 4.3804,                 4.1318,              0.0016074,              0.0016074,              0.0016074
                      8,                 1.3924,                   1.99,                 1.9458,                0.00233,                0.09523,                0.00195,                 0.0003,                 1.8936,                 4.2374,                 3.9367,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.2131,                 1.8271,                 1.7934,                0.13711,                 0.2512,                0.11854,                0.08213,                 1.4058,                 3.0268,                 2.2584,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.1203,                 1.7792,                 1.7014,                0.30882,                0.56855,                0.34236,                0.26442,                 1.0149,                 2.5511,                 1.4993,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.0235,                 1.6186,                 1.5744,                0.40439,                0.69029,                0.43638,                0.34662,                0.90339,                 2.3574,                  1.417,              0.0016505,              0.0016505,              0.0016505
                     12,                0.92596,                 1.5223,                 1.4829,                0.41369,                  0.721,                0.49382,                0.38605,                 0.8299,                 1.8512,                 1.3683,              0.0016488,              0.0016488,              0.0016488
                     13,                0.88774,                 1.4955,                 1.4521,                0.45709,                 0.7866,                0.56185,                0.47957,                0.66045,                 2.1858,                 1.2381,              0.0016472,              0.0016472,              0.0016472
                     14,                0.83275,                 1.3841,                 1.4004,                0.55535,                0.55124,                0.58407,                 0.4963,                 0.7598,                 1.3864,                 1.2552,              0.0016455,              0.0016455,              0.0016455
                     15,                0.80309,                 1.3677,                  1.367,                0.64789,                0.64911,                0.68266,                0.57749,                0.64665,                 1.1137,                 1.2303,              0.0016439,              0.0016439,              0.0016439
                     16,                 0.7997,                 1.2865,                 1.3385,                0.59832,                0.66985,                0.67515,                 0.5364,                0.72331,                 1.2891,                 1.3421,              0.0016422,              0.0016422,              0.0016422
                     17,                0.75284,                 1.2355,                 1.3117,                0.57274,                0.66709,                0.63877,                0.54178,                0.64832,                 1.2945,                 1.2062,              0.0016406,              0.0016406,              0.0016406
                     18,                0.73971,                 1.1917,                  1.277,                0.76175,                0.61567,                0.75625,                0.63513,                0.61474,                 1.0034,                 1.1839,              0.0016389,              0.0016389,              0.0016389
                     19,                0.72006,                  1.152,                 1.2651,                0.69685,                 0.7051,                0.77047,                0.67318,                0.58689,                0.93158,                 1.1119,              0.0016373,              0.0016373,              0.0016373
                     20,                 0.6924,                 1.1055,                 1.2398,                0.50825,                0.71122,                0.64908,                0.56612,                0.56988,                 1.2688,                 1.1322,              0.0016356,              0.0016356,              0.0016356
                     21,                0.66677,                 1.0395,                 1.2086,                0.76776,                0.75693,                0.83227,                0.68868,                0.64718,                0.89073,                  1.187,               0.001634,               0.001634,               0.001634
                     22,                0.66844,                 1.0173,                 1.2122,                0.63075,                0.60389,                0.65446,                0.57116,                0.51899,                 1.2247,                 1.0583,              0.0016323,              0.0016323,              0.0016323
                     23,                0.66188,                 1.0005,                 1.1931,                0.72349,                0.75045,                0.80191,                 0.7035,                0.53122,                0.96462,                 1.1125,              0.0016307,              0.0016307,              0.0016307
                     24,                 0.6636,                0.96381,                 1.1968,                0.66204,                0.81533,                0.85818,                0.74123,                0.56989,                0.78488,                 1.0837,               0.001629,               0.001629,               0.001629
                     25,                0.61626,                0.90217,                 1.1525,                0.78203,                0.76133,                0.85991,                0.74845,                0.54779,                 0.7509,                  1.075,              0.0016274,              0.0016274,              0.0016274
                     26,                0.60649,                0.91475,                 1.1478,                0.80295,                  0.837,                0.90249,                0.80634,                0.48584,                0.71638,                 1.0343,              0.0016257,              0.0016257,              0.0016257
                     27,                0.58702,                0.86427,                 1.1358,                0.82231,                0.84455,                0.90362,                0.77836,                0.56278,                0.73184,                 1.0898,              0.0016241,              0.0016241,              0.0016241
                     28,                0.59327,                0.82676,                 1.1229,                0.85354,                0.80856,                0.89719,                 0.8007,                0.49718,                0.68818,                 1.0312,              0.0016224,              0.0016224,              0.0016224
                     29,                0.58725,                0.81177,                 1.1174,                0.89554,                0.79462,                0.90281,                0.80863,                  0.484,                0.62591,                 1.0176,              0.0016208,              0.0016208,              0.0016208
                     30,                0.58276,                  0.828,                 1.1126,                0.86576,                0.86181,                0.92956,                 0.8291,                0.47068,                0.63233,                0.99584,              0.0016191,              0.0016191,              0.0016191
                     31,                 0.5489,                0.77735,                 1.0804,                0.60892,                0.73346,                0.73863,                0.65918,                0.49826,                 1.3304,                  1.016,              0.0016175,              0.0016175,              0.0016175
                     32,                0.55806,                0.77534,                 1.0906,                0.89909,                0.86815,                0.93334,                0.85494,                0.46153,                0.56732,                0.99995,              0.0016158,              0.0016158,              0.0016158
                     33,                0.56472,                0.74994,                  1.089,                  0.889,                0.86947,                0.94549,                0.86778,                0.42372,                0.59616,                0.96641,              0.0016142,              0.0016142,              0.0016142
                     34,                0.54343,                0.77887,                 1.0854,                0.92228,                0.85026,                0.93915,                0.84562,                0.46369,                0.54256,                0.99717,              0.0016125,              0.0016125,              0.0016125
                     35,                0.55247,                0.75622,                 1.0938,                0.84932,                0.82411,                0.91919,                0.82916,                0.45021,                0.63262,                0.98714,              0.0016109,              0.0016109,              0.0016109
                     36,                0.56161,                0.76145,                 1.0858,                0.77394,                0.91096,                0.92711,                0.84349,                0.45013,                 0.5853,                0.98776,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55354,                0.74307,                 1.0806,                0.92304,                 0.8415,                0.93696,                0.84895,                 0.4377,                0.54968,                0.98009,              0.0016076,              0.0016076,              0.0016076
                     38,                0.53315,                0.70672,                 1.0688,                0.88438,                0.87241,                0.93721,                0.86368,                0.42834,                0.56206,                0.96763,              0.0016059,              0.0016059,              0.0016059
                     39,                0.53284,                 0.6975,                  1.065,                0.88993,                0.81855,                0.94559,                0.87266,                0.39654,                0.52002,                0.94916,              0.0016043,              0.0016043,              0.0016043
                     40,                0.51986,                0.70564,                 1.0493,                0.85821,                0.85372,                0.92959,                 0.8358,                0.45609,                0.57071,                0.99985,              0.0016026,              0.0016026,              0.0016026
                     41,                0.52542,                0.70452,                 1.0603,                  0.898,                0.82751,                  0.917,                0.84034,                0.42597,                0.54377,                0.97091,               0.001601,               0.001601,               0.001601
                     42,                0.52094,                  0.686,                  1.059,                0.83497,                0.87477,                0.93546,                0.84673,                0.45762,                0.53611,                0.99562,              0.0015993,              0.0015993,              0.0015993
                     43,                0.50783,                0.67319,                 1.0548,                0.85067,                0.88865,                0.91107,                 0.8423,                0.42217,                0.59268,                0.96195,              0.0015977,              0.0015977,              0.0015977
                     44,                0.53306,                0.66402,                 1.0589,                0.85411,                0.82523,                0.92367,                0.84676,                0.40504,                0.55893,                0.95662,               0.001596,               0.001596,               0.001596
                     45,                0.52761,                0.66462,                 1.0533,                0.87943,                 0.8643,                0.92385,                0.83904,                0.42528,                0.51406,                0.97552,              0.0015944,              0.0015944,              0.0015944
                     46,                0.52175,                0.62933,                 1.0509,                0.86645,                0.89067,                0.94502,                0.87718,                0.40957,                0.49289,                0.96162,              0.0015927,              0.0015927,              0.0015927
                     47,                0.50272,                0.61117,                 1.0422,                0.89726,                0.88929,                0.96208,                 0.8812,                0.43038,                0.47021,                0.96619,              0.0015911,              0.0015911,              0.0015911
                     48,                0.49284,                 0.6054,                 1.0322,                0.89612,                0.95509,                0.96911,                0.89472,                0.39124,                0.42968,                 0.9456,              0.0015894,              0.0015894,              0.0015894
                     49,                0.51266,                0.59174,                 1.0368,                0.89247,                0.90175,                0.95058,                0.87009,                0.41299,                0.49658,                0.96043,              0.0015878,              0.0015878,              0.0015878
                     50,                0.49658,                0.58013,                 1.0396,                0.88504,                0.89078,                0.95139,                 0.8818,                0.38771,                0.45662,                0.94256,              0.0015861,              0.0015861,              0.0015861
                     51,                0.49263,                0.60885,                 1.0361,                0.92662,                0.95061,                0.96714,                0.89386,                0.38915,                0.40376,                0.95027,              0.0015845,              0.0015845,              0.0015845
                     52,                0.48688,                0.59634,                 1.0287,                0.87935,                0.92821,                0.93265,                 0.8682,                0.39648,                0.46684,                0.94904,              0.0015828,              0.0015828,              0.0015828
                     53,                0.47577,                0.60177,                  1.018,                0.81169,                0.88874,                0.90417,                0.83481,                0.39843,                0.48057,                0.94706,              0.0015812,              0.0015812,              0.0015812
                     54,                0.48432,                0.60308,                 1.0247,                0.78385,                0.81944,                0.88943,                0.82556,                0.39873,                0.68664,                0.93781,              0.0015795,              0.0015795,              0.0015795
                     55,                0.47019,                0.55694,                 1.0165,                0.89717,                0.93863,                0.94884,                0.87404,                0.39304,                0.40956,                0.94596,              0.0015779,              0.0015779,              0.0015779
                     56,                0.47932,                0.55908,                 1.0144,                0.88534,                0.92351,                0.96036,                0.88906,                 0.4063,                0.41458,                0.94318,              0.0015762,              0.0015762,              0.0015762
                     57,                0.48149,                0.55741,                  1.026,                0.92099,                0.90745,                0.95876,                0.88087,                0.40531,                0.43671,                0.95049,              0.0015746,              0.0015746,              0.0015746
                     58,                0.47594,                0.57065,                 1.0175,                0.89466,                0.91575,                0.95022,                0.88495,                0.38262,                0.44721,                0.93977,              0.0015729,              0.0015729,              0.0015729
                     59,                0.46716,                0.57482,                 1.0101,                0.95101,                0.89543,                0.95807,                0.88318,                0.39458,                0.43236,                0.94636,              0.0015713,              0.0015713,              0.0015713
                     60,                0.45467,                0.55166,                 1.0018,                0.92949,                0.94549,                0.96237,                 0.8923,                0.37829,                0.40561,                0.93482,              0.0015696,              0.0015696,              0.0015696
                     61,                0.46357,                0.55272,                 1.0088,                  0.895,                0.86326,                0.93256,                0.85863,                0.41226,                0.46227,                0.95437,               0.001568,               0.001568,               0.001568
                     62,                0.47495,                0.56618,                 1.0123,                0.87493,                0.87993,                0.93961,                0.85626,                0.41365,                0.48562,                0.94362,              0.0015663,              0.0015663,              0.0015663
                     63,                0.46369,                0.55795,                 1.0118,                0.91059,                0.94366,                0.97649,                0.90931,                0.38582,                0.40176,                 0.9358,              0.0015647,              0.0015647,              0.0015647
                     64,                0.45577,                0.55146,                0.99321,                0.89885,                0.89073,                0.92554,                0.85737,                0.38652,                0.46243,                0.93412,               0.001563,               0.001563,               0.001563
                     65,                0.46314,                0.57038,                 1.0109,                0.92677,                0.95419,                0.97934,                0.92063,                0.37487,                 0.3572,                0.92818,              0.0015614,              0.0015614,              0.0015614
                     66,                0.44954,                 0.5372,                0.99603,                0.91309,                0.92511,                0.96463,                0.90281,                0.37145,                0.41434,                0.92343,              0.0015597,              0.0015597,              0.0015597
                     67,                0.45053,                 0.5343,                0.99413,                0.91001,                0.90192,                 0.9512,                0.85565,                0.48668,                0.48719,                 1.0041,              0.0015581,              0.0015581,              0.0015581
                     68,                0.45012,                0.52805,                0.99777,                0.91245,                0.94029,                0.96281,                0.90358,                0.35916,                0.37843,                0.91585,              0.0015564,              0.0015564,              0.0015564
                     69,                0.44567,                0.50708,                0.99264,                0.92694,                0.95286,                0.97073,                0.90998,                0.35107,                0.35887,                0.91728,              0.0015548,              0.0015548,              0.0015548
                     70,                0.44247,                0.51468,                0.99156,                  0.894,                0.81742,                0.91362,                0.84854,                0.39455,                0.47739,                0.94016,              0.0015531,              0.0015531,              0.0015531
                     71,                0.45054,                0.52142,                0.99408,                0.91914,                0.94954,                0.97084,                0.91735,                0.36298,                0.36289,                 0.9194,              0.0015515,              0.0015515,              0.0015515
                     72,                0.45026,                0.49922,                 1.0015,                0.90074,                0.84382,                0.96224,                0.90385,                0.35827,                0.47999,                0.91888,              0.0015498,              0.0015498,              0.0015498
                     73,                0.45102,                0.51127,                 1.0034,                0.87209,                0.92315,                0.96762,                0.90138,                0.38247,                0.46551,                0.93164,              0.0015482,              0.0015482,              0.0015482
                     74,                0.44479,                0.50702,                0.98288,                0.92419,                0.89098,                0.96499,                0.88602,                 0.4402,                0.41607,                0.94605,              0.0015465,              0.0015465,              0.0015465
                     75,                0.44628,                 0.5107,                0.99246,                0.91073,                0.90842,                0.95601,                 0.8951,                0.36556,                0.43038,                0.91653,              0.0015449,              0.0015449,              0.0015449
                     76,                0.43017,                0.52974,                0.98801,                0.90325,                0.93554,                 0.9586,                0.90102,                0.37167,                0.38926,                0.91939,              0.0015432,              0.0015432,              0.0015432
                     77,                0.45337,                 0.5118,                0.99721,                0.92327,                0.92762,                0.97601,                0.90196,                0.37874,                0.37655,                0.92707,              0.0015416,              0.0015416,              0.0015416
                     78,                0.43532,                 0.4946,                0.98171,                0.88223,                0.93293,                0.94326,                 0.8694,                0.41189,                0.46447,                0.93554,              0.0015399,              0.0015399,              0.0015399
                     79,                0.44311,                0.49534,                0.99712,                 0.8941,                0.92251,                0.95669,                0.89713,                0.35662,                0.38432,                0.91188,              0.0015383,              0.0015383,              0.0015383
